제목,날짜,분류,본문,반응수
"日, 사이버방어·해양·우주 분야 23개 '중요기술' 육성한다",20230801,세계,"컴퓨터로 작업하는 사람들[로이터 연합뉴스 자료사진. 재판매 및 DB 금지]      일본 정부가 경제안보 강화를 위해 사이버 방어, 해양, 우주·항공, 바이오 분야의 23개 기술 개발 지원에 나선다고 요미우리신문이 1일 보도했다.    보도에 따르면 일본 정부는 23개 기술을 '특정중요기술'로 추가 지정해 지원한다는 내용을 담은 '제2차 연구개발 비전'안을 마련했다.    이에 따라 인공지능(AI)을 활용해 거짓 정보를 탐지하는 기술, 사이버 공격 징후가 보이면 사전에 이를 차단하는 '능동적 사이버 방어'와 관련해 사이버 공간의 상황을 파악하고 방어하는 기술이 특정중요기술에 추가될 것으로 보인다.    아울러 양자 기술을 활용한 암호화, 바닷속에서 하는 작업의 무인화와 효율화를 위한 무선통신, 인공위성의 수명을 연장하기 위한 연료 보급, 지혈제 제조 등과 관련된 기술도 특정중요기술에 포함될 것으로 전망된다.    일본 정부는 전문가 회의 논의 결과를 바탕으로 이르면 이달 중에 제2차 연구개발 비전안을 확정할 방침이다.    이어 연구를 수행할 기관을 공모하는 절차를 거쳐 올해 내에 연구를 시작할 계획이다.    이에 앞서 일본은 지난해 9월 음속의 5배 이상인 극초음속 기술, 많은 양의 유전자 정보를 해독하는 장치 등 27개 특정중요기술의 개발을 지원하기로 했다.",0
[그래픽] 온라인 해외 직접 구매·판매액 추이,20230801,경제,1일 통계청이 발표한 '온라인쇼핑동향'에 따르면 올해 2분기 해외 직접 판매액은 4천536억원으로 전분기 대비 59.8% 증가한 것으로 나타났다.,1
'어린이 감지 센서로 교통사고 예방'…우수 아이디어 선정,20230801,사회,"정부세종청사 행정안전부 청사[연합뉴스TV 제공]      행정안전부는 생활안전 문제해결 아이디어 공모전을 실시해 어린이 감지 차량 센서 등 우수 아이디어 5건을 선정했다고 1일 밝혔다.     이 공모전은 2018년부터 매년 열렸다. 올해는 지난 4월 16일부터 5월 19일까지 교통사고, 지하공간 침수 등 5개 분야에 대해 공모를 진행했으며, 총 181건의 아이디어가 접수됐다.     전문가가 국민심사 후보 10건을 선별했고, 대국민 온라인 소통창구인 '온국민소통'에서 국민투표를 열어 최종 우수 아이디어 5건을 선정했다.     선정된 아이디어 중 '어린이 감지 차량 센서 개발'은 스마트 신호등에 설치된 열화상 감지 센서를 통해 보행자가 감지됐을 경우 운전자에게 신호를 보내 대형차의 사각지대로 인한 어린이 교통사고를 예방하자는 제안이다.     '지하 침수 수위 알림 센서 개발'은 반지하 주택 침수 시 거주자와 유관기관에 침수를 알려 인명피해를 예방하자는 아이디어다.     우수 아이디어 제안자 5명에게는 각각 행안부 장관상과 함께 상금 40만원이 수여된다. 시상식은 9월 13일부터 15일까지 일산 킨텍스에서 열리는 대한민국 안전산업박람회에서 열린다.     우수 아이디어는 전문기관의 검토와 상세 기획을 거쳐 내년도 '국민수요 맞춤형 생활안전 연구개발 사업'의 신규과제로 추진된다.",1
"[게시판] 교육부, 직업계고 교원 구글·MS 방문연수과정 운영",20230801,사회,"구글 견학 현장.[교육부 제공. 재판매 및 DB 금지]    ▲ 교육부와 대한상공회의소는 '2023년 직업계고 채용연계형 직무교육과정 지원사업'의 하나로 이달 4일까지 직업계고 교원을 대상으로 한 역량 강화 프로그램을 운영한다고 1일 밝혔다. 추첨을 통해 선발된 120명의 직업계고 교원은 구글·레드햇·마이크로소프트·오라클 등 세계적 빅테크 기업 한국 지사를 찾아 각 기업이 제공하는 교육프로그램에 참여한다. 교원들은 이들 기업의 업무와 혁신적인 기술을 접하면서 인공지능(AI), 빅데이터, 인터넷 자원 공유 서비스(클라우드) 등 다양한 분야에서 필요한 미래 직업역량을 체험할 계획이다.",0
[게시판] 제2회 소방관 연구개발 아이디어 경진대회 개최,20230801,사회,"소방청[소방청 홈페이지 캡처]    ▲ 소방청은 제2회 연구개발 사업 아이디어 경진대회를 개최한다고 1일 밝혔다. 출동 현장 문제점을 개선하기 위한 방안, 변화하는 재난환경에 맞춘 조직 대응력 강화 방안, 소방산업 육성 아이디어를 모집한다. 참가 대상은 전국 소방공무원이며, 이달 말까지 소방 안전 기술 수요조사 제안요청서를 작성해 국민신문고 공모제안으로 제출하면 된다. 최종 심사 결과는 10월에 공개된다.",0
"인권위 ""외국인 장애인도 철도요금 똑같이 할인해야""",20230801,사회,"코레일에 의견표명…'재정 부담' 이유로 진정은 기각    국가인권위원회 간판[연합뉴스 자료사진]      국가인권위원회(인권위)는 외국인 등록장애인에게도 철도요금을 할인해주도록 한국철도공사(코레일)와 관계기관이 함께 제도를 개선해야 한다는 의견을 표명했다고 1일 밝혔다.    인권위에 따르면 한국 영주권자인 A씨는 배우자가 등록된 청각장애인인데도 외국인이라는 이유로 철도요금 할인대상에서 배제됐다며 지난해 7월 진정을 냈다.    장애인복지법 제30조 제2항은 국가와 지방자치단체, 공공기관, 지방공사 또는 지방공단이 운영하는 운송사업자가 장애인과 동행인의 운임 등을 감면하는 정책을 강구하도록 했다. 시행령은 요금 감면대상 시설과 할인 조건 등을 규정하고 있다.    다만 같은 법 제32조의2 제2항에 따르면 예산 등을 고려해 외국인은 장애인 복지사업의 지원을 제한할 수 있다.    공사는 이 조항을 근거로 외국인 등록장애인을 할인 대상에서 제외했고 내국민과 재외국민에게만 혜택을 제공하는 것은 차별이 아니라고 주장했다.    그러면서 현재 장애인 요금감면액이 연간 약 200억원에 달해 비용 부담이 크다고 덧붙였다.    인권위는 요금감면 대상에 외국인 등록장애인을 포함할 경우 공사 재정에 부정적 영향을 미칠 가능성이 있다며 A씨의 진정을 기각하면서도 제도 개선은 필요하다고 봤다.    인권위는 ""경제적 부담의 경감은 장애로 일상과 사회생활에 제약이 있는 내·외국인 모두에게 필요하다""며 ""외국인 등록장애인에게 철도요금 경감 혜택이 주어진다면 장애인의 사회참여 차원에서 바람직할 뿐 아니라 장애인 이동권 보장 등 인권 향상에도 기여할 것""이라고 말했다.",0
"'지역 차별' 일삼은 은행 지점장…대법 ""전보명령 타당""",20230801,사회,"근무평정 낮아 후선업무 배치…""필요성 있었다"" 판단    대법원[연합뉴스 자료사진]  직원과 고객을 출신 지역을 이유로 차별하고 근무평정이 현저히 낮다는 이유로 다른 자리로 전보된 은행 지점장이 불복 소송을 냈으나 대법원에서 최종 패소했다.    1일 법조계에 따르면 대법원 3부(주심 오석준 대법관)는 A씨가 소속 은행을 상대로 낸 전보 무효 확인 소송을 원고패소 판결한 원심을 지난달 13일 확정했다.    은행 지점장(부점장급)으로 일하던 A씨는 2018년 7월 사업부 업무추진역으로 전보됐다.    영업실적이 부진하거나 경영 관리능력이 미흡한 직원을 후선업무(지원업무)로 배치하고 이후 실적에 따라 현업 복귀 여부를 결정하는 '후선배치제도'에 따른 인사였다.    A씨에 대한 직원 대상 무기명 설문조사와 인사부 감찰 조사 보고서, 종합 근무평정 결과가 근거가 됐다.    직원 설문조사에는 ""A씨는 전라도에 대한 심한 편견으로 해당 지역 출신 사람들을 과도하게 싫어하고 경계한다""는 제보가 담겼다.    전북 출신 팀장이 부임하자 교체를 강하게 요청하고, 영업 상대방이 전라도 출신이면 최대한 보수적으로 여신을 검토하는 등 차별적 행위를 했다는 내용이었다.    근무 중 '5·18 민주화운동은 북한 소행'이라고 주장하는 등 정치적 성향을 드러내는 일이 잦다는 제보도 있었다.    감찰보고서에는 ""직원을 차별하고 권위적, 소통 부재의 리더십으로 지점의 근무 분위기와 직원의 근무 의욕을 저하시킨다""고 적혔다. 지점장으로 근무하는 동안 종합 근무평정은 하위권을 기록했다.    A씨는 전보 명령이 부당하다며 소송을 냈다. 업무능력에 문제가 없어 전보 명령의 필요성이 인정되지 않는 반면 자신의 연봉이 20％ 감액되는 등 생활상 불이익이 크다고 주장했다.    법원은 그러나 은행의 전보 명령이 타당하다고 판결했다.    1심 법원은 ""원고(A씨)는 지점장으로서 역량과 리더십이 부족했다""며 ""지점 직원들의 근무 분위기를 쇄신하고 사기를 진작하기 위해 전보 명령을 할 업무상 필요성이 있었던 것으로 판단된다""고 봤다.    생활상 불이익도 크지 않다고 판단했다. 보직만 이동했을 뿐 직급은 그대로이고 연봉 감소분은 지점장 직무수당이 빠진 것에 불과하며 기존 근무지보다 새 근무지가 주거지에 더 가깝다는 점이 근거가 됐다.    A씨는 항소했지만 받아들여지지 않았다. 대법원 역시 ""원심의 판단은 정당하다""며 A씨의 상고를 기각했다.",0
Online shopping up 7.7 pct in June on travel rebound,20230801,세계,"online shopping-June tallyOnline shopping up 7.7 pct in June on travel reboundBy Kang Yoon-seung   SEOUL, Aug. 1 (Yonhap) -- Online shopping in South Korea moved up 7.7 percent in June from a year earlier on the back of a rebound in the demand for travel services, data showed Tuesday.   The value of online shopping transactions amounted to 18.42 trillion won (US$14.41 billion) in June, compared with 17.1 trillion won tallied a year earlier, according to the data from Statistics Korea.   The growth was mostly led by the travel and transportation services, which shot up 30.4 percent on-year to hit 1.96 trillion won, as more people traveled amid lifted virus-related restrictions.   Online sales of food and beverages advanced 14.8 percent to hit 2.41 trillion won as well, and those of e-coupons, which refer to online gift cards, shot up 46.7 percent to 734 billion won.   The demand for food delivery services reached 2.1 trillion won, up 0.8 percent on-year, and online sales of clothes came to 1.5 trillion won, down 1.7 percent over the period.   Purchases made through smartphones, tablets and other mobile devices rose 5.8 percent on-year to 13.44 trillion won. They accounted for 73 percent of the total online shopping, down 1.3 percentage points on-year, it added.   South Koreans' direct purchase of goods from overseas online shopping malls in the second quarter, meanwhile, reached 1.63 trillion won in June, up 25.6 percent on-year.    China accounted for 777.8 billion won, more than doubling over the period, followed by the United States with 469.6 billion won, the data showed.   By product, clothes and other fashion items accounted for 756.7 billion won of the country's total direct purchases, up 45.8 percent on-year, followed by foodstuffs with 382.6 billion won, which rose 6.7 percent over the period.   South Korea's direct overseas sales via online malls reached 453.6 billion won in June, down 10.3 percent on-year.   By destination, China took up 309.2 billion won, followed by the U.S. with 60 billion won and Japan with 51.5 billion won.   Sales of cosmetics fell 8.1 percent over the period to 298.8 billion won, followed by clothes with 65.7 billion won, which moved down 13.6 percent, the data also showed.",0
"공정위, '하도급대금 대물변제' 엠브이지토건에 시정명령",20230801,경제,"공정거래위원회[연합뉴스TV 제공]      공정거래위원회는 엠브이지토건이 하도급 대금을 제때 지급하지 않고 대금 일부를 자신이 시공한 아파트 계약금으로 대체한 행위에 대해 시정명령을 부과하기로 했다고 1일 밝혔다.    엠브이지토건은 전남 무안군 아파트 건설공사 중 타일·방수 공사 등 14건의 공사를 7개 수급 사업자에게 위탁했으나 하도급 대금 중 일부인 3억9천600만원을 법정 지급기일(목적물 수령일로부터 60일) 내에 지급하지 않은 것으로 조사됐다.    3개 수급 사업자와는 하도급 대금 1억6천100만원을 현금 대신 대물(代物)로 변제하기로 합의했다. 시공된 아파트를 계약금 없이 공사 발주자로부터 인수할 수 있도록 중간 다리 역할을 하는 방식이었다.    수급 사업자로서는 밀린 하도급 대금을 현금으로 받기를 포기하고, 대신 중도금 대출을 낀 아파트를 받은 셈이다.    공정위는 엠브이지토건에 미지급 하도급대금과 지연이자 1억800만원을 지급하라는 명령과 재발 방지 명령을 부과하기로 했다.    공정위는 ""이번 조치가 수급 사업자의 현금 흐름에 지대한 영향을 끼치는 대물변제 관행 개선에 기여할 것으로 기대한다""고 밝혔다.",0
2분기 온라인 쇼핑 55조원 '역대 최대'…여행·교통서비스 37%↑,20230801,경제,"e쿠폰 41%↑…공연 활성화에 6월 문화·레저 쇼핑도 사상 최대2분기 온라인 해외직구 역대 최대…역직구는 감소세    섬으로 여행을 떠나는 피서객들이 여객선에 오르고 있다. [연합뉴스 자료사진]      지난 2분기 온라인 쇼핑 거래액이 55조원대로 역대 최대를 기록했다.    온라인 해외 직접구매(직구)도 역대 최대를 기록했지만, 해외 직접 판매(역직구)는 11개 분기째 감소했다.    통계청은 올해 2분기 온라인 쇼핑 거래액이 55조4천503억원으로 작년 2분기보다 7.3% 늘었다고 1일 밝혔다.    이는 관련 통계가 개편된 2017년 이후 전 분기 통틀어 역대 가장 많은 규모다.     상품군별로 보면 여행 및 교통서비스가 37.3% 늘었다.    코로나19 방역 조치 해제 등의 영향으로 여행 및 교통서비스 거래액은 증가 추세다. 2분기 거래액은 5조9천191억원으로 역대 최대였다.    기프티콘 등 이(e)쿠폰 서비스도 40.6% 늘어난 2조3천195억원으로 역대 최대를 기록했다. 온라인을 통한 선물 서비스 등이 다양해지고 활성화된 결과다.    온라인 쇼핑에서 가장 큰 비중을 차지하는 음식료품은 7조2천685억원으로 13.0% 늘었다. 온라인 장보기가 활발해지면서 역대 최대 거래액을 기록했다.    6월 온라인 쇼핑 거래액은 18조4천249억원으로 작년 같은 달보다 7.7%(1조3천202억원) 늘었다.    이중 모바일 쇼핑 거래액이 13조4천449억원으로 73.0%를 차지했다. 1년 전보다 비중이 1.3%포인트 감소했다.    상품군별로는 문화 및 레저서비스가 8.1% 늘어난 3천320억원으로 전월 통틀어 역대 최대를 기록했다. 국내 가수들의 공연이 활발하게 이뤄지면서 티켓 발매 등이 큰 폭으로 증가하고 있다고 통계청은 설명했다.    [통계청 제공. 재판매 및 DB금지]    2분기 온라인 해외 직구액은 1조6천350억원으로 작년 동기 대비 25.6% 늘었다. 관련 통계 작성이 시작된 2014년 이후 전 분기 통틀어 역대 최대다.    상품군별로 보면 스포츠·레저용품(54.9%), 의류 및 패션 관련 상품(45.8%), 음·식료품(6.7%) 등에서 증가했다.    지역별로는 중국(120.7%), 일본(13.5%), 중남미(62.5%) 등에서 구매액이 늘었다.    온라인 해외 직접 판매액은 4천536억원으로 10.3% 줄었다. 해외 역직구는 면세점 판매 등이 줄며 11개 분기째 감소세다.    지역별로 보면 중국(-10.9%) 등에서, 상품별로는 화장품(-8.1%) 등에서 판매액이 감소했다.",1
"""국립중앙과학관에서 우리 민물고기 '참쉬리' 만나보세요""",20230801,IT,"국립중앙과학관, 민물고기 특별전 '담수漁지교' 개최    참쉬리 정기준표본[국립중앙과학관 제공. 재판매 및 DB 금지]  국립중앙과학관은 민물고기 특별전 '담수어지교'를 10월 22일까지 연다고 1일 밝혔다.    전시에서는 2015년 신종으로 발표된 참쉬리 정기준표본이 국내 처음으로 공개된다. 정기준표본은 연구자가 새 종을 발표할 때 기준으로 삼는 표본이다.    한국인이 처음 신종으로 발표한 민물고기인 참종개와 국내 민물고기 1세대 학자인 고 최기철 박사의 성을 학명에 담은 미호종개의 표본도 처음 공개된다.    또 지구상에서 멸종돼 단 하나 표본으로만 남은 한국고유종 '서호납줄갱이' 모형도 처음으로 제작해 공개한다.    이외에도 박물관 소장 담수어 표본과 최 박사의 친필 원고 등 기증자료도 전시된다.    특별전은 무료이며 전문가 특강도 4회 진행된다. 특강은 중앙과학관 홈페이지에서 사전 예약하거나 현장 접수를 통해 들을 수 있다.    국립중앙과학관 민물고기 특별전 '담수어지교'[국립중앙과학관 제공. 재판매 및 DB 금지]",1
페이퍼리스 촉진 시범사업에 NFC 기반 전자영수증 등 4건 선정,20230801,IT,"[과학기술정보통신부 제공. 재판매 및 DB 금지]  과학기술정보통신부와 한국인터넷진흥원은 '2023년 페이퍼리스 촉진 시범사업' 공모를 통해 디지털 전환 신뢰 서비스 4개 과제를 선정했다고 1일 밝혔다.    선정된 과제는 NFC 기반 전자영수증(올링크), 모바일 음성고지(제주도청), 디지털 원본증명(한국토지주택공사), 디지털 거래명세서(한국전자기술연구원)다.    이 과제들은 매칭 펀드 방식으로 과제별 최대 1억5천만원을 지원받아 올해까지 과제별 서비스 구축을 완료하고, 내년부터 시범사업을 개시한다.",0
"국내 최대 크리에이터 행사, 4∼5일 인천서 열려",20230801,IT,"[과기정통부 제공. 재판매 및 DB 금지]  과학기술정보통신부는 인천시와 함께 국내 최대 규모의 크리에이터 미디어 행사인 '2023 크리에이터 미디어대전 in 인천'을 4∼5일 인천 송도 컨벤시아에서 연다고 1일 밝혔다.     올해로 5회째인 이번 행사의 개막식에는 공식 앰배서더 조나단(구독자 90만 명), 한살차이(구독자 129만 명)에 대한 감사패 수여식이 진행되고, 가수 허각과 틱톡커 케지민(팔로워 1천100만 명)의 축하공연도 열린다.    행사는 신인 크리에이터 쇼케이스와 크리에이터 그림·게임대전 등 주요 행사를 진행하는 '콘텐츠존', 팬미팅 등 크리에이터와 관람객 사이 교류의 장을 위한 '크리에이터존', 융·복합 체험 프로그램과 이벤트를 상시 운영하는 '크리에이티비티존', 크리에이터 라이브 방송이 운영되는 '커뮤니티존', 크리에이터 미디어 유관 기업 홍보부스가 운영되는 '커넥션존' 등 5개 공간으로 구성돼 진행된다.    올해는 특히 미디어 유관 기업뿐 아니라 크리에이터 비즈니스 기업과 여행, 식품 등 다양한 분야의 기업이 참여할 예정이라고 과기정통부는 전했다.    박윤규 과기정통부 제2차관은 ""경제적·산업적 파급력이 높은 크리에이터 미디어는 최근 커머스, 스포츠, 문화예술 등 다양한 산업과의 융합을 통해 새로운 가치를 창출하고 있다""며 ""과기정통부도 크리에이터 생태계 확장을 목표로 크리에이터 육성부터 콘텐츠 경쟁력 강화, 해외 수출지원까지 전주기적 지원에 앞장설 것""이라고 말했다.",0
투자대상 사업장 망해도 운용보고서에 정상…사모펀드 위법 백태,20230801,경제,"금감원 사모운용사 전수검사서 적발…""지위 사유화, 심각한 범죄""조직적인 고객 이익 훼손·횡령 등엔 '즉시 퇴출' 추진    금감원[연합뉴스 자료사진]      시공사 부실로 인한 공사 미진행 상황을 투자자들에게 알리지 않고 현장 실사 요청에도 엉뚱한 정상 사업장에 데려간 사모운용사가 적발됐다.    또 펀드 자금을 가족법인에 몰래 보내거나 해외주식 상장폐지로 인한 수백억 상당의 손실을 감춘 운용사들도 함께 발견됐다.     금융감독원은 1일 사모운용사 전수검사 과정에서 정보 비대칭을 이용한 투자자 기망, 도관체(통로 역할)를 이용한 대주주 편익 제공 등 다양한 위법·부당 행위가 적발됐다고 밝혔다.    금감원에 따르면 A운용사는 투자 대상 사업장의 공사가 시공사 부실로 전혀 진행되고 있지 않음을 알고서도 공사가 정상 진행되고 있다고 자산운용보고서에 허위로 기재했다.     해당 대체 펀드 투자자들은 펀드가 정상 운용되고 있다고 착각해 다른 대체 펀드에 대한 추가 투자를 결정하기도 했다.     또한, A운용사는 일부 기관투자자의 요청으로 실시한 현장 실사에서도 부실 사업장과 무관한 정상 사업장에 데려간 것으로 드러났다.     정보비대칭을 이용한 투자자 기망[금감원 제공]    B운용사는 대주주인 가족 법인이 자금난에 처하자 도관체를 통해 특수관계자에게 펀드 자금을 송금하는 방식으로 고객 재산을 사유화했다.     운용 중인 특별자산 펀드에서 부실이 발생하자 특별자산 펀드 간 '자금 돌려막기'를 통해 부실을 은폐하기도 했다.     아울러 국채 등 안전자산에 투자하는 것으로 거짓 기재된 문서를 이용해서 한 재단으로부터 200억원을 유치한 뒤 이 자금 일부를 기존 특별자산 펀드가 편입한 부실 사모사채 상환에 쓰다가 환매 중단 사태를 빚었다.    도관체를 이용한 대주주 편익제공[금감원 제공]    부적격 운용사들이 투자 손실을 은폐한 사례도 있었다.     C운용사는 현재 완전 자본잠식 상태로 등록유지 요건인 최저 자기자본(7억원) 수준에도 이르지 못한 상태다.     이런 상황에서 200억원 규모로 투자한 해외주식이 상장 폐지돼 6개 펀드에서 평가 손실이 발생했음에도, 이를 전혀 반영하지 않은 자산운용보고서로 투자 손실을 은폐했다.     D운용사는 펀드 또는 고유재산에서 부동산 사업 관련 대출을 취급하면서 법정 최고이자율(20%) 제한을 위반했다. 부동산 개발회사에 최고 166.7%의 고리 대출을 중개한 뒤 중개 수수료를 챙기기도 했다.     금감원은 ""고객 자금의 충실한 운용을 통해 국민 자산 증식, 나아가 국가 경제 발전에 기여하는 게 자산운용업의 본질임에도 금융회사 지위(라이선스)를 사유화해 불법·부당 행위를 일삼는 것은 심각한 범죄 행위""라고 강조했다.     국내 사모펀드 시장은 지속적인 성장세다.     2020년 말 기준 252개사이던 사모운용사는 지난 6월 기준 376곳으로 늘어났고, 같은 기간 사모펀드 수탁고는 438조4천억원에서 577조8천억원으로 늘었다.     그에 비해 부적격 운용사들에 대한 퇴출은 제대로 이뤄지지 않고 있다.     최근 3년간 사모운용사 156개사가 신규진출했으나 퇴출(자진폐지, 등록취소 등)된 운용사는 4개사에 불과하다.     지난 5월 말 기준 9곳이 최저 자기자본 유지 요건을 충족시키지 못하고 있음에도, 투자 수탁고가 남아 있어 펀드 이관 등 투자자 보호 절차로 퇴출이 지연되는 사례가 많다.    이에 금감원은 조직적인 고객 이익 훼손 행위나 횡령 등 펀드 재산을 사유화하는 중대한 법규 위반에 대해서는 즉시 퇴출(원스트라이크 아웃)이 가능하도록 제도 개선을 추진하겠다고 밝혔다.",2
[알림] 연합뉴스 콘텐츠 저작권 고지,20230801,없음,"연합뉴스가 제공하는 기사, 사진, 그래픽, 영상 등 모든 콘텐츠는 관련 법의 보호를 받습니다. 연합뉴스 콘텐츠를 사전허가 없이 전재·방송하거나 무단으로 복사·배포·판매·전시·개작할 경우 민·형사상 책임이 따를 수 있습니다. 콘텐츠 사용과 관련해 궁금한 점이 있으면 전화(☎:02-398-3655) 또는 이메일",0
(Copyright),20230801,세계,"(Copyright)    All information carried by the Yonhap News Agency, including articles, photographs, graphics, audio and video images, and illustrations (collectively, the content) is owned by the Yonhap News Agency.    The use of the content for any other purposes other than personal and noncommercial use is expressly prohibited without the written consent of the Yonhap News Agency.    Any violation can be subject to a compensation claim or civil and criminal lawsuits.    Requests to use the content for any purpose besides the ones mentioned above should be directed in advance to Yonhap's Information Business Department at 82-2-398-3557 or 82-2-398-3552.(END)",0
"[여자월드컵] 전력 다할 '세계 2위' 독일…벨호, 5골 차 승 못하면 집으로",20230801,스포츠,"5골 차 넘게 이겨도 콜롬비아가 모로코 꺾어야 16강행산술적 가능성 희박하지만…""안 봐도 되는 경기? 희망 있다""패배 시 2개 대회 연속 전패…'월드컵 연패'도 7경기로 늘어'마지막까지 최선을'(캠벨타운[호주]=연합뉴스)  한국 여자 축구대표팀의 콜린 벨 감독과 선수들이 31일 오전(한국시간) 호주 시드니 외곽의 캠벨타운 스포츠 스타디움에서 회복훈련을 하고 있다.     앞선 콜롬비아, 모로코와의 조별리그 두 경기에서 연패한 대표팀은 다음달 3일 독일과 3차전을 치른다. 2023.7.31 utzza@yna.co.kr    (캠벨타운[호주]=연합뉴스)  콜린 벨 감독이 이끄는 여자 축구대표팀이 몹시 어려운 과제를 받았다.    2023 국제축구연맹(FIFA) 호주·뉴질랜드 여자 월드컵에 나선 벨호는 조별리그 마지막 경기에서 5골 차 승리를 거두지 못하면 탈락한다.    가뜩이나 쉽지 않은 목표지만, 상대가 '강호' 독일이라는 점에서 첩첩산중이다. 게다가 독일도 전력을 다해야 할 처지라 난관이 예상된다.    대표팀은 한국시간으로 3일 오후 7시 호주 퀸즐랜드주의 브리즈번 스타디움에서 독일과 월드컵 조별리그 H조 3차전을 치른다.    독일은 H조에서 FIFA 랭킹이 가장 높다. '세계 최강' 미국에 이어 2위다.    명실상부한 강팀을 상대로 2015년 캐나다 대회 이후 8년 만의 16강행을 꿈꾸는 대표팀은 최소한 '5골 차 승리'가 필요하다.    지난달 25일 콜롬비아전(0-2), 30일 모로코전(0-1)을 내리 진 대표팀이 16강에 오르는 '경우의 수' 전제조건이 5골 차 이상 승리다.    한국은 골 득실에서 -3, 독일은 +5를 기록 중이다.     4골 차로 이기면 골 득실은 +1로 같아지지만 다득점에서 독일(7골)이 앞서기 때문에 5골 차로 이겨야 한다.      여기에 모로코가 콜롬비아에 패하는 상황까지 겹쳐야 우리가 조 2위로 16강에 들 수 있다.    산술적인 가능성은 매우 희박하다. '마지막까지 최선을'(캠벨타운[호주]=연합뉴스)  한국 여자 축구대표팀 선수들이 31일 오전(한국시간) 호주 시드니 외곽의 캠벨타운 스포츠 스타디움에서 회복훈련을 하고 있다.     앞선 콜롬비아, 모로코와의 조별리그 두 경기에서 연패한 대표팀은 다음달 3일 독일과 3차전을 치른다. 2023.7.31 utzza@yna.co.kr    FIFA 랭킹 17위의 한국이 독일을 대파하면서 콜롬비아가 우리를 도와주는 '브리즈번의 기적'이 일어나길 기도해야 할 상황이다.     벨 감독을 비롯한 대표팀 선수들도 이를 인지하고 있다. 하지만 선수들은 '실낱같은 희망'을 끝까지 좇겠다며 투지를 불태운다.    천가람(화천 KSPO)은 지난달 31일 팀 훈련을 마치고 취재진에 ""남들은 '안 봐도 되는 경기'라고 할 수 있다. '우리가 독일을 어떻게 이겨'라고 하는데, 작지만 일단 희망이 있다""고 말했다.    16강 진출 여부를 떠나 독일전은 대표팀에게 드리운 '오명'을 걷어낼 마지막 기회이기도 하다.     2019년 프랑스 월드컵 3경기에서 3전 전패·1골·8실점으로 조별리그 탈락한 대표팀은 이번 대회에서도 2패를 안았다. 2경기에서 한 골도 넣지 못했고 3골을 내줬다.    독일전 패배 시 2개 대회 조별리그 전패가 된다. 2015년 캐나다 대회 16강 프랑스전 패배부터 이어져 온 월드컵 연패 기록도 7경기로 늘어난다.    독일 역시 웃을 상황은 아니다.    세계 정상급 팀이라는 수식어처럼 첫 경기에서 모로코를 6-0으로 대파한 독일은 FIFA 랭킹 25위 콜롬비아에 일격을 당했다.    후반 추가 시간 극장골을 허용하며 1-2로 진 독일은 일단 골 득실(+5)에서 3위 모로코(-5)에 앞서 2위에 자리했다.    그러나 모로코가 H조 최종전에서 콜롬비아를 꺾고, 독일이 우리나라에 지거나 비기면 콜롬비아와 모로코가 16강행 티켓을 받는다.    모로코가 콜롬비아와 비기고, 독일이 우리에게 지더라도 같은 상황이 펼쳐진다.알렉산드라 포프[AP=연합뉴스]    독일로서는 자력으로 16강 진출을 확정하기 위해서 한국을 무조건 꺾어야 한다.     세계적인 강팀이지만, 올해 들어 독일이 국제 무대에서 마냥 이긴 건 아니다.    2월 스웨덴과 친선전에서 득점 없이 비긴 독일은 4월 브라질에 1-2로 졌고, 7월에는 FIFA 랭킹 77위 잠비아에 2-3으로 패하기도 했다.    가장 경계할 선수는 주장이자 간판 골잡이인 알렉산드라 포프(볼프스부르크)다.    지난해 열린 유럽여자축구선수권대회(여자 유로 2022)에서 6골을 폭발하며 팀을 결승에 올려놨다.    이번 대회에서도 모로코전 2골, 콜롬비아전 1골을 기록하며 전 경기 득점포를 가동 중이다.    pual07@yna.co.kr 기사제공 연합뉴스 이의진",53
